assignment_id,group,Map 1,Map 2,Map 3,Map 4,Map group,hasStarted,hasFinished
H047,High,2_incentivized_hard_4_seed6_9520000_100.json,2_forced_hard_seed12_10000000_80.json,2_forced_hard_4_seed9_9520000_80.json,2_incentivized_hard_seed6_10000000_80.json,O4,FALSE,FALSE
H048,High,2_incentivized_hard_4_seed6_9520000_100.json,2_forced_hard_seed12_10000000_80.json,2_forced_hard_4_seed9_9520000_80.json,2_incentivized_hard_seed6_10000000_80.json,O4,FALSE,FALSE
H049,High,2_forced_hard_seed14_10000000_80.json,2_forced_hard_4_seed9_10000000_80.json,2_incentivized_hard_seed7_10000000_80.json,2_incentivized_hard_4_seed7_9520000_100.json,O1,FALSE,FALSE
H050,High,2_forced_hard_seed14_10000000_80.json,2_forced_hard_4_seed9_10000000_80.json,2_incentivized_hard_seed7_10000000_80.json,2_incentivized_hard_4_seed7_9520000_100.json,O1,FALSE,FALSE
H051,High,2_forced_hard_4_seed9_10000000_80.json,2_incentivized_hard_seed7_10000000_80.json,2_incentivized_hard_4_seed7_9520000_100.json,2_forced_hard_seed14_10000000_80.json,O2,FALSE,FALSE
H052,High,2_forced_hard_4_seed9_10000000_80.json,2_incentivized_hard_seed7_10000000_80.json,2_incentivized_hard_4_seed7_9520000_100.json,2_forced_hard_seed14_10000000_80.json,O2,FALSE,FALSE
H053,High,2_incentivized_hard_seed7_10000000_80.json,2_incentivized_hard_4_seed7_9520000_100.json,2_forced_hard_seed14_10000000_80.json,2_forced_hard_4_seed9_10000000_80.json,O3,FALSE,FALSE
H054,High,2_incentivized_hard_seed7_10000000_80.json,2_incentivized_hard_4_seed7_9520000_100.json,2_forced_hard_seed14_10000000_80.json,2_forced_hard_4_seed9_10000000_80.json,O3,FALSE,FALSE
H055,High,2_incentivized_hard_4_seed7_9520000_100.json,2_forced_hard_seed14_10000000_80.json,2_forced_hard_4_seed9_10000000_80.json,2_incentivized_hard_seed7_10000000_80.json,O4,FALSE,FALSE
H056,High,2_incentivized_hard_4_seed7_9520000_100.json,2_forced_hard_seed14_10000000_80.json,2_forced_hard_4_seed9_10000000_80.json,2_incentivized_hard_seed7_10000000_80.json,O4,FALSE,FALSE
H057,High,2_forced_hard_seed15_10000000_80.json,2_forced_hard_4_seed11_9520000_80.json,2_incentivized_hard_seed9_10000000_80.json,2_incentivized_hard_4_seed8_9520000_100.json,O1,FALSE,FALSE
H058,High,2_forced_hard_seed15_10000000_80.json,2_forced_hard_4_seed11_9520000_80.json,2_incentivized_hard_seed9_10000000_80.json,2_incentivized_hard_4_seed8_9520000_100.json,O1,FALSE,FALSE
H059,High,2_forced_hard_4_seed11_9520000_80.json,2_incentivized_hard_seed9_10000000_80.json,2_incentivized_hard_4_seed8_9520000_100.json,2_forced_hard_seed15_10000000_80.json,O2,FALSE,FALSE
H060,High,2_forced_hard_4_seed11_9520000_80.json,2_incentivized_hard_seed9_10000000_80.json,2_incentivized_hard_4_seed8_9520000_100.json,2_forced_hard_seed15_10000000_80.json,O2,FALSE,FALSE
H061,High,2_incentivized_hard_seed9_10000000_80.json,2_incentivized_hard_4_seed8_9520000_100.json,2_forced_hard_seed15_10000000_80.json,2_forced_hard_4_seed11_9520000_80.json,O3,FALSE,FALSE
H062,High,2_incentivized_hard_seed9_10000000_80.json,2_incentivized_hard_4_seed8_9520000_100.json,2_forced_hard_seed15_10000000_80.json,2_forced_hard_4_seed11_9520000_80.json,O3,FALSE,FALSE
H063,High,2_incentivized_hard_4_seed8_9520000_100.json,2_forced_hard_seed15_10000000_80.json,2_forced_hard_4_seed11_9520000_80.json,2_incentivized_hard_seed9_10000000_80.json,O4,FALSE,FALSE
H064,High,2_incentivized_hard_4_seed8_9520000_100.json,2_forced_hard_seed15_10000000_80.json,2_forced_hard_4_seed11_9520000_80.json,2_incentivized_hard_seed9_10000000_80.json,O4,FALSE,FALSE
H065,High,2_forced_hard_seed17_10000000_80.json,2_forced_hard_4_seed20_9520000_80.json,2_incentivized_hard_seed8_10000000_80.json,2_incentivized_hard_4_seed10_9520000_100.json,O1,FALSE,FALSE
H066,High,2_forced_hard_seed17_10000000_80.json,2_forced_hard_4_seed20_9520000_80.json,2_incentivized_hard_seed8_10000000_80.json,2_incentivized_hard_4_seed10_9520000_100.json,O1,FALSE,FALSE
H067,High,2_forced_hard_4_seed20_9520000_80.json,2_incentivized_hard_seed8_10000000_80.json,2_incentivized_hard_4_seed10_9520000_100.json,2_forced_hard_seed17_10000000_80.json,O2,FALSE,FALSE
H068,High,2_forced_hard_4_seed20_9520000_80.json,2_incentivized_hard_seed8_10000000_80.json,2_incentivized_hard_4_seed10_9520000_100.json,2_forced_hard_seed17_10000000_80.json,O2,FALSE,FALSE
H069,High,2_incentivized_hard_seed8_10000000_80.json,2_incentivized_hard_4_seed10_9520000_100.json,2_forced_hard_seed17_10000000_80.json,2_forced_hard_4_seed20_9520000_80.json,O3,FALSE,FALSE
H070,High,2_incentivized_hard_seed8_10000000_80.json,2_incentivized_hard_4_seed10_9520000_100.json,2_forced_hard_seed17_10000000_80.json,2_forced_hard_4_seed20_9520000_80.json,O3,FALSE,FALSE
H071,High,2_incentivized_hard_4_seed10_9520000_100.json,2_forced_hard_seed17_10000000_80.json,2_forced_hard_4_seed20_9520000_80.json,2_incentivized_hard_seed8_10000000_80.json,O4,FALSE,FALSE
H072,High,2_incentivized_hard_4_seed10_9520000_100.json,2_forced_hard_seed17_10000000_80.json,2_forced_hard_4_seed20_9520000_80.json,2_incentivized_hard_seed8_10000000_80.json,O4,FALSE,FALSE
