id,playbackSpeedChanges,tutorialEndedAt,createdAt,isFinalEpisodeSave,episodeCount,mainTotalDurationSec,mainDurationSecAtSave,timeSpentOnPageSec,fileName,mainStartedAt,tutorialDurationSec,videoPauseCount,prolificId,tutorialStartedAt,mainEndedAt,experimentSessionId,feedback_details_json
"IQDybpz6aCdNLpPFqQbR","[]",,"2026-04-21T05:26:39.473Z",false,2,,,1,"small_corridor_5_7520000.json",,,0,"asd","2026-04-21T05:26:12.813Z",,"8cf55721-0c81-4984-a5bf-a09598daf262","[]"
"IZzJCoMoSSJocjGYUSL3","[]","2026-04-21T05:40:00.546Z","2026-04-21T05:43:37.454Z",false,1,,216.91,223,"random3_5_7520000.json","2026-04-21T05:40:00.546Z",144,3,"69c57c992edd649f653d0cc6","2026-04-21T05:37:36.548Z",,"5cabd15e-f41d-4d1e-a284-f9aa7632be25","[{""endFrame"":36,""baseFrame"":34,""DidSpecifyRange"":true,""sentiment"":5,""startFrame"":7,""reason"":""How they are interacting with each other (e.g. tossing onions to be cooked in pot) and getting right into the task."",""feedback"":""Chefs are working very collaboratively, each taking on different tasks."",""createdAt"":""2026-04-21T05:43:37.954Z"",""timeSpentWritingFeedBackSec"":108.02,""index"":1},{""sentiment"":5,""baseFrame"":77,""DidSpecifyRange"":true,""endFrame"":86,""index"":2,""timeSpentWritingFeedBackSec"":67.48,""createdAt"":""2026-04-21T05:43:38.077Z"",""reason"":""They seem to have a good flow and are task sharing, responding to what is needed in the moment. "",""feedback"":""They are both taking turns doing the same job, as to pick up from the other "",""startFrame"":59}]"
"J0IGiUBDiFf66scB7waD","[]","","2026-04-10T04:08:19.624Z","",1,"","",239,"small_corridor_5_7520000.json","","",9,"66708c3d9418ec5491c5483e","","","","[{""sentiment"":2,""baseFrame"":0,""DidSpecifyRange"":true,""endFrame"":1,""index"":1,""timeSpentWritingFeedBackSec"":59.81,""createdAt"":""2026-04-10T04:08:20.483Z"",""reason"":""It is an unnecessary movement"",""feedback"":""AI chef travels 1 square in the wrong direction to start"",""startFrame"":0},{""DidSpecifyRange"":true,""baseFrame"":1,""endFrame"":79,""sentiment"":1,""createdAt"":""2026-04-10T04:08:20.632Z"",""reason"":""massively unproductive"",""feedback"":""This is a huge dead time zone, where one chef is not preparing or contributing while the other does all the work"",""startFrame"":39,""index"":2,""timeSpentWritingFeedBackSec"":153.42}]"
"J4gessDYclxB5o3VEPN8","[]","","2026-04-10T04:41:14.533Z","",5,"","",375,"multiplayer_schelling_5_7520000.json","","",2,"69bf9e3da3ff156e34a65991","","","","[{""sentiment"":2,""endFrame"":99,""baseFrame"":99,""DidSpecifyRange"":true,""index"":2,""timeSpentWritingFeedBackSec"":176.39,""reason"":""Assigning tasks better would have made things more efficient. Also assigning stations and sides of the kitchen to work on would have eliminated all four chefs being in one area unsure of which way to go."",""feedback"":""The chefs also seem to be somewhat disorganised with taking the dishes to the pots and serving. It appears to be the blue and orange chef doing it, but at time they don't seem to know where thy are supposed to go."",""startFrame"":97,""createdAt"":""2026-04-10T04:41:15.240Z""},{""endFrame"":54,""baseFrame"":52,""DidSpecifyRange"":true,""sentiment"":2,""startFrame"":0,""feedback"":""The chefs appear to be trying to take onions to both pots, but are highly disorganised and don't seem to know where they are supposed to go."",""reason"":""If they had organised who was supposed to take onions to each pot, the process would be streamlined and faster."",""createdAt"":""2026-04-10T04:41:15.031Z"",""timeSpentWritingFeedBackSec"":105.43,""index"":1}]"
"JsifylO2jDRI6qRCNFyn","[]",,"2026-04-21T05:26:41.007Z",false,3,,,1,"random0_medium_5_7520000.json",,,0,"asd","2026-04-21T05:26:12.813Z",,"8cf55721-0c81-4984-a5bf-a09598daf262","[]"
"KYPIwjoO5gbo1N2HHHOx","[]","2026-04-21T05:57:14.798Z","2026-04-21T06:05:37.207Z",true,5,502.41,502.41,115,"multiplayer_schelling_5_7520000.json","2026-04-21T05:57:14.798Z",158.17,0,"67d411652ada0a7584b2558e","2026-04-21T05:54:36.628Z","2026-04-21T06:05:37.205Z","23c0ee42-36c1-475f-b1e3-7710135de599","[{""timeSpentWritingFeedBackSec"":108.11,""index"":1,""feedback"":""Eacj of the 4 chefs was pickinhg up oinion needed and also wakinh through the servimg area to pick up a dish and also added the onoin to the soup then moving to the serving area to serve the food "",""reason"":""The 4 chefs was actully doing the exact "",""startFrame"":1,""createdAt"":""2026-04-21T06:05:38.528Z"",""sentiment"":5,""endFrame"":5,""baseFrame"":3,""DidSpecifyRange"":true}]"
"KdtE3peMiad5CBHpVPmA","[]","2026-04-21T06:37:52.882Z","2026-04-21T06:47:26.930Z",false,4,,574.05,65,"multiplayer_schelling_3_5_7520000.json","2026-04-21T06:37:52.882Z",143.82,0,"5dd005a9eb39730fc834988f","2026-04-21T06:35:29.057Z",,"33eda4a4-ae8b-477b-a98a-618bd7c15164","[]"
"KnSGYVPZ9LSfg9NN76uv","[]","2026-04-21T05:31:40.200Z","2026-04-21T05:43:54.996Z",false,2,,734.79,188,"small_corridor_5_7520000.json","2026-04-21T05:31:40.200Z",123.28,0,"69e2ed0fa8552ceab65b6a83","2026-04-21T05:29:36.918Z",,"d765d347-866f-4e0e-9b3b-a23077f23d8a","[{""timeSpentWritingFeedBackSec"":138.11,""index"":1,""createdAt"":""2026-04-21T05:43:55.593Z"",""feedback"":""The AI places onions on two separate counters (Brown Squares)."",""reason"":""Efficiently, after the chef in the green hat serves the first soup, they can retrieve an onion sooner"",""startFrame"":39,""sentiment"":5,""baseFrame"":41,""DidSpecifyRange"":true,""endFrame"":85}]"
"KreQOpDLdu9dCVBAWB6J","[]","","2026-04-10T04:34:59.050Z","",4,"","",454,"random0_medium_5_7520000.json","","",11,"69bf9e3da3ff156e34a65991","","","","[{""timeSpentWritingFeedBackSec"":176.53,""index"":1,""reason"":""The are efficiently working together to make as much as possible in an efficient way."",""feedback"":""The chef are working together to fill both pots with onions."",""startFrame"":0,""createdAt"":""2026-04-10T04:34:59.656Z"",""sentiment"":5,""endFrame"":22,""baseFrame"":21,""DidSpecifyRange"":true},{""sentiment"":1,""baseFrame"":36,""DidSpecifyRange"":true,""endFrame"":99,""timeSpentWritingFeedBackSec"":223.65,""index"":2,""createdAt"":""2026-04-10T04:34:59.807Z"",""startFrame"":34,""reason"":""The blue chef is cause the kitchen to become inefficient. If they had of just moved dishes to where the green chef could reach them like the onions, the green chef would also be able to serve, meaning people could receive their food faster."",""feedback"":""The blue chef has all the dishes on their side of the kitchen. They take the plates near the green chef but don't hand them any. The blue chef takes the plates to their station and serves the dish and starts taking more onions to the pot while the green chef is never able to serve anything.""}]"
"KywrwcEAQMhLta8cEf67","[]","2026-04-21T07:21:13.400Z","2026-04-21T07:22:52.125Z",false,2,,98.72,78,"small_corridor_5_7520000.json","2026-04-21T07:21:13.400Z",163.47,1,"5c747244f33ac60001b7a9e2","2026-04-21T07:18:29.927Z",,"a1c7c4ed-0d72-424f-8d9b-471c71e938d3","[{""createdAt"":""2026-04-21T07:22:53.041Z"",""startFrame"":0,""reason"":""Because I can undaerstan what they are trying to acheive"",""feedback"":""I think that it is clear what the chefs are doing"",""timeSpentWritingFeedBackSec"":68.41,""index"":1,""baseFrame"":0,""DidSpecifyRange"":true,""endFrame"":74,""sentiment"":4}]"
"N98IkCc0H0JYLkP2rlUw","[]",,"2026-04-21T05:22:04.584Z",false,3,,,0,"small_corridor_5_7520000.json",,,0,"ㅁㄴㅇ","2026-04-21T05:21:42.686Z",,"cd4ed84b-5b55-4fc0-81dc-7873b99e4721","[]"
"Nse3ErHrKD1QPDNjoMzh","[]",,"2026-04-21T05:26:42.939Z",false,4,,,2,"multiplayer_schelling_3_5_7520000.json",,,0,"asd","2026-04-21T05:26:12.813Z",,"8cf55721-0c81-4984-a5bf-a09598daf262","[]"
"OOwIvxjb03RzJizNv7U5","[]","2026-04-21T06:37:52.882Z","2026-04-21T06:50:54.614Z",true,5,781.73,781.73,207,"multiplayer_schelling_5_7520000.json","2026-04-21T06:37:52.882Z",143.82,3,"5dd005a9eb39730fc834988f","2026-04-21T06:35:29.057Z","2026-04-21T06:50:54.612Z","33eda4a4-ae8b-477b-a98a-618bd7c15164","[{""startFrame"":41,""reason"":""not a very efficient strategy."",""feedback"":""Having to wait for each other."",""createdAt"":""2026-04-21T06:50:55.477Z"",""timeSpentWritingFeedBackSec"":36.89,""index"":2,""endFrame"":52,""baseFrame"":48,""DidSpecifyRange"":true,""sentiment"":1},{""createdAt"":""2026-04-21T06:50:55.183Z"",""startFrame"":5,""feedback"":""They are getting in each others way."",""reason"":""Bad strategy for serving the most dishes."",""timeSpentWritingFeedBackSec"":36.37,""index"":1,""baseFrame"":15,""DidSpecifyRange"":true,""endFrame"":18,""sentiment"":1}]"
"Ot1T7FzzdPLQUM5Wx6g8","[]","","2026-04-10T04:22:27.486Z","",5,"","",98,"random0_medium_5_7520000.json","","",0,"5d9b7c7efaa2860364b16476","","","","[{""sentiment"":1,""DidSpecifyRange"":true,""baseFrame"":99,""endFrame"":99,""index"":1,""timeSpentWritingFeedBackSec"":52.34,""createdAt"":""2026-04-10T04:22:27.878Z"",""reason"":""There is totally miscommunication between two chefs so they not did good work."",""feedback"":""The feedback is negative here."",""startFrame"":97}]"
"P2TDh5tQ9WYv4D4wih8X","[]","2026-04-21T06:17:42.115Z","2026-04-21T06:22:53.017Z",false,4,,310.9,141,"multiplayer_schelling_3_5_7520000.json","2026-04-21T06:17:42.115Z",115.01,7,"64a9858be9b52e570ffb3c1e","2026-04-21T06:15:47.103Z",,"8490d32f-dd25-4b53-be7c-6dde7e8b9763","[{""sentiment"":5,""baseFrame"":63,""DidSpecifyRange"":true,""endFrame"":90,""index"":2,""timeSpentWritingFeedBackSec"":51.08,""createdAt"":""2026-04-21T06:22:54.307Z"",""reason"":""Really well done with their movements and actions."",""feedback"":""Really good flow state where all 3 chefs are working in unison. Real good work."",""startFrame"":57},{""sentiment"":2,""baseFrame"":42,""DidSpecifyRange"":true,""endFrame"":63,""index"":1,""timeSpentWritingFeedBackSec"":59.5,""createdAt"":""2026-04-21T06:22:54.052Z"",""reason"":""Wasn't efficient time spent by green hat."",""feedback"":""Chef in the green hat was stood around waiting for it to be cooked, instead of going helping the other chefs."",""startFrame"":53}]"
